split,row,original_length,prompt_length,trained_tokens,was_truncated
train,0,713,126,587,False
train,1,588,112,476,False
train,2,564,113,451,False
train,3,936,144,792,False
train,4,675,148,527,False
train,5,911,144,767,False
train,6,964,171,793,False
train,7,842,141,701,False
train,8,520,146,374,False
train,9,546,115,431,False
train,10,698,143,555,False
train,11,785,124,661,False
train,12,515,116,399,False
train,13,725,153,572,False
train,14,948,158,790,False
train,15,698,119,579,False
train,16,716,127,589,False
train,17,927,138,789,False
train,18,687,134,553,False
train,19,1430,118,906,True
train,20,666,140,526,False
train,21,598,128,470,False
train,22,431,144,287,False
train,23,832,143,689,False
train,24,1145,180,844,True
train,25,713,124,589,False
train,26,657,137,520,False
train,27,1135,126,898,True
train,28,577,137,440,False
train,29,838,151,687,False
train,30,589,149,440,False
train,31,2124,167,857,True
train,32,604,138,466,False
train,33,471,122,349,False
train,34,668,117,551,False
train,35,832,156,676,False
train,36,463,133,330,False
train,37,1298,156,868,True
train,38,510,125,385,False
train,39,643,133,510,False
train,40,1062,182,842,True
train,41,968,116,852,False
train,42,819,125,694,False
train,43,543,125,418,False
train,44,1130,154,870,True
train,45,802,125,677,False
train,46,1010,168,842,False
train,47,564,121,443,False
train,48,935,116,819,False
train,49,420,141,279,False
train,50,459,130,329,False
train,51,706,143,563,False
train,52,503,120,383,False
train,53,839,125,714,False
train,54,697,136,561,False
train,55,1053,156,868,True
train,56,698,122,576,False
train,57,815,128,687,False
train,58,778,138,640,False
train,59,703,140,563,False
train,60,901,158,743,False
train,61,383,114,269,False
train,62,708,175,533,False
train,63,666,126,540,False
train,64,1170,178,846,True
train,65,765,126,639,False
train,66,915,141,774,False
train,67,1227,120,904,True
train,68,441,120,321,False
train,69,442,111,331,False
train,70,744,151,593,False
train,71,886,136,750,False
train,72,617,131,486,False
train,73,696,140,556,False
train,74,821,137,684,False
train,75,620,124,496,False
train,76,1000,122,878,False
train,77,1311,125,899,True
train,78,2443,211,813,True
train,79,917,189,728,False
train,80,624,119,505,False
train,81,670,223,447,False
train,82,640,131,509,False
train,83,820,148,672,False
train,84,462,139,323,False
train,85,643,158,485,False
train,86,708,121,587,False
train,87,557,108,449,False
train,88,413,126,287,False
train,89,542,151,391,False
train,90,639,118,521,False
train,91,784,142,642,False
train,92,631,168,463,False
train,93,683,150,533,False
train,94,934,177,757,False
train,95,727,118,609,False
train,96,508,125,383,False
train,97,1207,131,893,True
train,98,2808,151,873,True
train,99,566,157,409,False
train,100,324,125,199,False
train,101,423,131,292,False
train,102,489,140,349,False
train,103,579,131,448,False
train,104,829,128,701,False
train,105,804,116,688,False
train,106,721,138,583,False
train,107,597,141,456,False
train,108,965,134,831,False
train,109,740,136,604,False
train,110,1230,153,871,True
train,111,489,154,335,False
train,112,649,124,525,False
train,113,563,130,433,False
train,114,646,115,531,False
train,115,566,135,431,False
train,116,756,125,631,False
train,117,582,117,465,False
train,118,767,147,620,False
train,119,816,181,635,False
train,120,617,139,478,False
train,121,517,122,395,False
train,122,526,135,391,False
train,123,922,145,777,False
train,124,630,133,497,False
train,125,554,142,412,False
train,126,1009,148,861,False
train,127,770,131,639,False
train,128,718,133,585,False
train,129,677,132,545,False
train,130,496,148,348,False
train,131,652,144,508,False
train,132,914,214,700,False
train,133,512,107,405,False
train,134,509,130,379,False
train,135,926,158,768,False
train,136,641,147,494,False
train,137,3515,135,889,True
train,138,806,143,663,False
train,139,492,120,372,False
train,140,990,155,835,False
train,141,939,132,807,False
train,142,2583,128,896,True
train,143,1612,178,846,True
train,144,404,128,276,False
train,145,910,171,739,False
train,146,822,149,673,False
train,147,853,123,730,False
train,148,582,121,461,False
train,149,842,130,712,False
train,150,631,139,492,False
train,151,605,129,476,False
train,152,744,143,601,False
train,153,704,159,545,False
train,154,791,131,660,False
train,155,1413,132,892,True
train,156,1014,113,901,False
train,157,748,116,632,False
train,158,578,133,445,False
train,159,895,129,766,False
train,160,506,119,387,False
train,161,590,138,452,False
train,162,607,118,489,False
train,163,633,144,489,False
train,164,699,139,560,False
train,165,721,132,589,False
train,166,1097,199,825,True
train,167,557,110,447,False
train,168,599,128,471,False
train,169,472,112,360,False
train,170,737,253,484,False
train,171,794,124,670,False
train,172,963,143,820,False
train,173,1106,157,867,True
train,174,1935,158,866,True
train,175,3728,171,853,True
train,176,945,168,777,False
train,177,605,156,449,False
train,178,717,146,571,False
train,179,1262,156,868,True
train,180,459,127,332,False
train,181,802,146,656,False
train,182,769,138,631,False
train,183,1027,150,874,True
train,184,410,116,294,False
train,185,1345,168,856,True
train,186,1242,167,857,True
train,187,838,149,689,False
train,188,915,147,768,False
train,189,639,143,496,False
train,190,1016,134,882,False
train,191,468,116,352,False
train,192,521,163,358,False
train,193,532,111,421,False
train,194,713,156,557,False
train,195,741,152,589,False
train,196,544,121,423,False
train,197,1076,156,868,True
train,198,608,123,485,False
train,199,819,123,696,False
train,200,638,116,522,False
train,201,686,122,564,False
train,202,633,143,490,False
train,203,535,133,402,False
train,204,749,134,615,False
train,205,516,120,396,False
train,206,486,127,359,False
train,207,445,132,313,False
train,208,684,152,532,False
train,209,734,141,593,False
train,210,769,162,607,False
train,211,410,146,264,False
train,212,1567,127,897,True
train,213,1081,123,901,True
train,214,677,160,517,False
train,215,334,110,224,False
train,216,1086,157,867,True
train,217,659,142,517,False
train,218,715,121,594,False
train,219,1173,161,863,True
train,220,702,140,562,False
train,221,430,131,299,False
train,222,710,124,586,False
train,223,640,115,525,False
train,224,1101,170,854,True
train,225,512,134,378,False
train,226,780,157,623,False
train,227,447,128,319,False
train,228,967,132,835,False
train,229,828,130,698,False
train,230,623,139,484,False
train,231,875,150,725,False
train,232,738,123,615,False
train,233,531,162,369,False
train,234,1001,126,875,False
train,235,657,153,504,False
train,236,528,128,400,False
train,237,772,126,646,False
train,238,460,132,328,False
train,239,804,122,682,False
train,240,837,145,692,False
train,241,716,118,598,False
train,242,1139,124,900,True
train,243,301,106,195,False
train,244,661,121,540,False
train,245,701,109,592,False
