mode,dataset_index,gold_answer,greedy_prediction,greedy_correct,valid_format,thinking_words,reflection_words,sc_n1_prediction,sc_n1_correct,sc_n3_prediction,sc_n3_correct,sc_n5_prediction,sc_n5_correct,sc_n7_prediction,sc_n7_correct,sc_n10_prediction,sc_n10_correct
base,13,18,15,False,True,153,12,18,True,18,True,18,True,18,True,18,True
base,51,5,40,False,True,147,22,5,True,5,True,5,True,5,True,5,True
base,54,40,40,True,True,106,22,40,True,40,True,40,True,40,True,40,True
base,61,1430,1430,True,True,80,36,1430,True,1430,True,1430,True,1430,True,1430,True
base,65,36,36,True,False,0,76,36,True,36,True,36,True,36,True,36,True
base,88,8000,7000,False,True,82,16,7090.909090909091,False,7090.909090909091,False,7000,False,7000,False,7000,False
base,93,36,36,True,True,135,38,36,True,36,True,36,True,36,True,36,True
base,114,6,6,True,True,168,28,6,True,6,True,6,True,6,True,6,True
base,135,40,10,False,True,101,11,50,False,50,False,40,True,40,True,50,False
base,142,140,140,True,False,0,50,140,True,140,True,140,True,140,True,140,True
base,146,2125,2125,True,False,0,13,2125,True,2125,True,2125,True,2125,True,2125,True
base,161,32,32,True,False,0,0,32,True,32,True,32,True,32,True,32,True
base,163,50,50,True,True,151,9,50,True,50,True,50,True,50,True,50,True
base,178,122,92,False,True,104,15,122,True,122,True,122,True,122,True,122,True
base,189,34,34,True,False,0,0,11.75,False,11.75,False,34,True,34,True,34,True
base,191,5,5,True,True,101,44,1.75,False,1.75,False,5,True,5,True,5,True
base,198,320,320,True,True,118,23,320,True,320,True,320,True,320,True,320,True
base,206,860,860,True,False,0,52,860,True,860,True,860,True,860,True,860,True
base,209,145,1550,False,True,203,18,150,False,150,False,150,False,150,False,145,True
base,228,1,1,True,True,108,37,1,True,1,True,1,True,1,True,1,True
base,255,192,176,False,True,156,21,176,False,96,False,96,False,176,False,176,False
base,285,21,21,True,True,75,10,21,True,21,True,21,True,21,True,21,True
base,292,75,75,True,True,83,16,75,True,75,True,75,True,75,True,75,True
base,318,123,123,True,True,134,18,123,True,123,True,123,True,123,True,123,True
base,326,14,14,True,True,159,21,14,True,14,True,14,True,14,True,14,True
base,333,100,150,False,False,0,52,100,True,100,True,100,True,100,True,100,True
base,334,6,6,True,True,104,32,6,True,6,True,6,True,6,True,6,True
base,350,8,8,True,True,115,11,8,True,8,True,8,True,8,True,8,True
base,393,20,20,True,True,159,24,20,True,20,True,20,True,20,True,20,True
base,407,2000,3000,False,True,115,9,3000,False,3000,False,2000,True,2000,True,2000,True
base,429,13,13,True,False,0,0,13,True,13,True,13,True,13,True,13,True
base,432,30,30,True,True,100,35,30,True,30,True,30,True,30,True,30,True
base,435,5,5,True,True,46,9,5,True,5,True,5,True,5,True,5,True
base,440,98,98,True,True,136,28,98,True,98,True,98,True,98,True,98,True
base,447,5,5,True,True,53,15,8,False,8,False,5,True,5,True,5,True
base,449,112,200,False,True,119,21,112,True,112,True,112,True,112,True,112,True
base,451,11050,11050,True,False,0,18,45,False,45,False,45,False,45,False,11050,True
base,457,45,45,True,True,86,34,35,False,45,True,45,True,45,True,45,True
base,466,1,3,False,True,154,11,10,False,10,False,10,False,1,True,1,True
base,469,4,4,True,True,73,13,3,False,3,False,4,True,4,True,4,True
base,476,5,5,True,True,101,36,10,False,10,False,5,True,5,True,5,True
base,501,273,108.5,False,True,104,8,83,False,83,False,83,False,273,True,273,True
base,505,1600,1600,True,False,0,67,1600,True,1600,True,1600,True,1600,True,1600,True
base,538,18,18,True,True,129,15,28,False,28,False,18,True,18,True,18,True
base,541,50,75,False,True,118,12,,False,50,True,50,True,50,True,50,True
base,542,7,7,True,False,0,0,7,True,7,True,7,True,7,True,7,True
base,546,130,130,True,False,0,0,117,False,130,True,130,True,117,False,130,True
base,548,100,100,True,False,0,26,100,True,100,True,100,True,100,True,100,True
base,552,450,450,True,False,0,0,450,True,450,True,450,True,450,True,450,True
base,563,12,12,True,False,0,47,12,True,12,True,12,True,12,True,12,True
base,569,21,28,False,True,59,11,39,False,84,False,84,False,84,False,84,False
base,592,1,1,True,True,102,36,1,True,1,True,1,True,1,True,1,True
base,600,10,10,True,True,64,15,10,True,10,True,10,True,10,True,10,True
base,644,29,29,True,True,177,25,29,True,29,True,29,True,29,True,29,True
base,646,79,34.5,False,True,107,14,36,False,36,False,79,True,79,True,79,True
base,664,32,32,True,False,0,47,32,True,32,True,32,True,32,True,32,True
base,689,7,7,True,False,0,35,6.8,False,7,True,7,True,7,True,7,True
base,696,145,145,True,False,0,38,195,False,195,False,145,True,145,True,145,True
base,704,50,50,True,True,91,20,50,True,50,True,50,True,50,True,50,True
base,727,112,112,True,False,0,78,256,False,112,True,112,True,112,True,112,True
base,735,50,30,False,True,125,14,10,False,50,True,50,True,50,True,50,True
base,740,25,25,True,True,164,49,25,True,25,True,25,True,25,True,25,True
base,747,350,350,True,True,109,50,0.7,False,350,True,350,True,350,True,350,True
base,758,133,133,True,True,88,14,133,True,133,True,133,True,133,True,133,True
base,775,276,276,True,True,170,24,276,True,276,True,276,True,276,True,276,True
base,777,4400,3600,False,True,173,21,5240,False,3200,False,3200,False,3200,False,3200,False
base,778,38,38,True,False,0,39,38,True,38,True,38,True,38,True,38,True
base,810,310,150,False,False,0,62,310,True,310,True,310,True,310,True,310,True
base,821,35,35,True,False,0,0,35,True,35,True,35,True,35,True,35,True
base,859,1520,1520,True,True,148,29,1520,True,1520,True,1520,True,1520,True,1520,True
base,864,80,120,False,True,153,32,80,True,80,True,80,True,80,True,80,True
base,865,23,23,True,True,147,30,23,True,23,True,23,True,23,True,23,True
base,919,90,90,True,True,111,20,60,False,60,False,90,True,90,True,90,True
base,928,60,42,False,True,139,17,42,False,42,False,60,True,60,True,60,True
base,939,650,650,True,False,0,49,650,True,650,True,650,True,650,True,650,True
base,940,280,280,True,True,140,18,280,True,280,True,280,True,280,True,280,True
base,946,450,450,True,True,73,10,230,False,450,True,450,True,450,True,450,True
base,1022,12,12,True,False,0,31,12,True,12,True,12,True,12,True,12,True
base,1034,66,66,True,True,129,10,66,True,66,True,66,True,66,True,66,True
base,1093,144,144,True,True,155,12,288,False,288,False,144,True,144,True,144,True
base,1098,30,30,True,False,0,39,30,True,30,True,30,True,30,True,30,True
base,1103,90,90,True,False,0,40,90,True,90,True,90,True,90,True,90,True
base,1116,60,60,True,True,63,30,60,True,60,True,60,True,60,True,60,True
base,1130,25,25,True,True,165,31,325,False,25,True,25,True,25,True,25,True
base,1140,27,27,True,False,0,24,54,False,27,True,27,True,27,True,54,False
base,1149,93,93,True,False,0,39,93,True,93,True,93,True,93,True,93,True
base,1161,170,,False,False,0,0,2490,False,2490,False,2490,False,170,True,2390,False
base,1182,1800,1800,True,True,162,29,1800,True,1800,True,1800,True,1800,True,1800,True
base,1206,40000,40000,True,True,95,11,100000,False,40000,True,40000,True,40000,True,40000,True
base,1209,29,30,False,False,0,39,29,True,30,False,30,False,29,True,29,True
base,1232,15,15,True,True,79,13,15,True,15,True,15,True,15,True,15,True
base,1236,84,48,False,False,0,26,78,False,84,True,84,True,84,True,84,True
base,1247,7,7,True,True,69,43,7,True,7,True,7,True,7,True,7,True
base,1266,147,105,False,True,129,11,147,True,147,True,147,True,147,True,147,True
base,1287,84,84,True,False,0,0,84,True,84,True,84,True,84,True,84,True
base,1300,120,144,False,False,0,40,120,True,240,False,120,True,120,True,120,True
