mode,dataset_index,gold_answer,greedy_prediction,greedy_correct,valid_format,thinking_words,reflection_words,sc_n1_prediction,sc_n1_correct
base,13,18,,False,False,0,0,,False
base,51,5,,False,False,0,0,,False
base,54,40,,False,False,0,0,,False
base,61,1430,,False,False,0,0,,False
base,65,36,,False,False,0,0,,False
base,178,122,,False,False,0,0,,False
base,191,5,,False,False,0,0,,False
base,209,145,,False,False,0,0,,False
base,228,1,,False,False,0,0,,False
base,285,21,,False,False,0,0,,False
base,326,14,,False,False,0,0,,False
base,407,2000,,False,False,0,0,,False
base,447,5,,False,False,0,0,,False
base,451,11050,,False,False,0,0,,False
base,457,45,,False,False,0,0,,False
base,476,5,,False,False,0,0,,False
base,501,273,,False,False,0,0,,False
base,563,12,,False,False,0,0,,False
base,569,21,,False,False,0,0,,False
base,859,1520,,False,False,0,0,,False
base,864,80,,False,False,0,0,,False
base,865,23,,False,False,0,0,,False
base,919,90,,False,False,0,0,,False
base,1034,66,,False,False,0,0,,False
base,1116,60,,False,False,0,0,,False
base,1149,93,,False,False,0,0,,False
base,1206,40000,,False,False,0,0,,False
base,1209,29,,False,False,0,0,,False
base,1232,15,,False,False,0,0,,False
base,1309,2280,,False,False,0,0,,False
adapter,13,18,,False,False,372,0,,False
adapter,51,5,,False,False,0,0,,False
adapter,54,40,40,True,True,195,70,40,True
adapter,61,1430,1930,False,True,218,84,1930,False
adapter,65,36,36,True,True,348,35,36,True
adapter,178,122,122,True,True,213,94,122,True
adapter,191,5,5,True,True,291,40,5,True
adapter,209,145,1550,False,True,233,80,1550,False
adapter,228,1,1,True,True,290,69,1,True
adapter,285,21,21,True,True,175,82,21,True
adapter,326,14,16,False,True,167,102,16,False
adapter,407,2000,8000,False,True,260,44,8000,False
adapter,447,5,,False,False,336,0,,False
adapter,451,11050,11050,True,True,341,34,11050,True
adapter,457,45,45,True,True,220,62,45,True
adapter,476,5,5,True,True,268,59,5,True
adapter,501,273,273.5,False,True,302,39,273.5,False
adapter,563,12,12,True,True,236,66,12,True
adapter,569,21,21,True,True,214,38,21,True
adapter,859,1520,1520,True,True,290,28,1520,True
adapter,864,80,80,True,True,256,37,80,True
adapter,865,23,23,True,True,207,75,23,True
adapter,919,90,225,False,True,231,64,225,False
adapter,1034,66,66,True,True,233,38,66,True
adapter,1116,60,60,True,True,236,78,60,True
adapter,1149,93,39,False,True,232,70,39,False
adapter,1206,40000,40000,True,True,218,54,40000,True
adapter,1209,29,29,True,True,290,81,29,True
adapter,1232,15,15,True,True,159,44,15,True
adapter,1309,2280,2180,False,True,271,56,2180,False
