mode,dataset_index,gold_answer,greedy_prediction,greedy_correct,valid_format,thinking_words,reflection_words,sc_n1_prediction,sc_n1_correct
base,13,18,15,False,True,153,12,18,True
base,51,5,40,False,True,147,22,5,True
base,54,40,40,True,True,106,22,40,True
base,61,1430,1430,True,True,80,36,1430,True
base,65,36,36,True,False,0,76,36,True
base,88,8000,7000,False,True,82,16,7090.909090909091,False
base,93,36,36,True,True,135,38,36,True
base,114,6,6,True,True,168,28,6,True
base,135,40,10,False,True,101,11,50,False
base,142,140,140,True,False,0,50,140,True
base,146,2125,2125,True,False,0,13,2125,True
base,161,32,32,True,False,0,0,32,True
base,163,50,50,True,True,151,9,50,True
base,178,122,92,False,True,104,15,122,True
base,189,34,34,True,False,0,0,11.75,False
base,191,5,5,True,True,101,44,1.75,False
base,198,320,320,True,True,118,23,320,True
base,206,860,860,True,False,0,52,860,True
base,209,145,1550,False,True,203,18,150,False
base,228,1,1,True,True,108,37,1,True
base,255,192,176,False,True,156,21,176,False
base,285,21,21,True,True,75,10,21,True
base,292,75,75,True,True,83,16,75,True
base,318,123,123,True,True,134,18,123,True
base,326,14,14,True,True,159,21,14,True
base,333,100,150,False,False,0,52,100,True
base,334,6,6,True,True,104,32,6,True
base,350,8,8,True,True,115,11,8,True
base,393,20,20,True,True,159,24,20,True
base,407,2000,3000,False,True,115,9,3000,False
adapter,13,18,18,True,False,0,32,18,True
adapter,51,5,5,True,True,137,83,5,True
adapter,54,40,48,False,True,248,30,48,False
adapter,61,1430,1430,True,True,163,68,1430,True
adapter,65,36,36,True,True,252,98,36,True
adapter,88,8000,8000,True,True,102,68,8000,True
adapter,93,36,36,True,True,156,60,36,True
adapter,114,6,,False,False,0,0,,False
adapter,135,40,40,True,True,217,74,40,True
adapter,142,140,140,True,True,156,56,140,True
adapter,146,2125,2125,True,False,0,0,2125,True
adapter,161,32,32,True,True,256,31,32,True
adapter,163,50,54,False,True,222,85,54,False
adapter,178,122,122,True,True,233,71,122,True
adapter,189,34,34,True,True,348,89,34,True
adapter,191,5,0.5,False,True,244,63,0.5,False
adapter,198,320,320,True,False,0,21,320,True
adapter,206,860,860,True,True,367,31,860,True
adapter,209,145,5,False,True,237,109,5,False
adapter,228,1,1,True,True,200,72,1,True
adapter,255,192,96,False,True,243,55,96,False
adapter,285,21,21,True,True,123,63,21,True
adapter,292,75,75,True,True,163,57,75,True
adapter,318,123,123,True,True,221,71,123,True
adapter,326,14,14,True,False,0,54,14,True
adapter,333,100,100,True,True,379,92,100,True
adapter,334,6,6,True,True,144,42,6,True
adapter,350,8,8,True,True,170,46,8,True
adapter,393,20,20,True,True,236,33,20,True
adapter,407,2000,1000,False,True,355,92,1000,False
