`torch_dtype` is deprecated! Use `dtype` instead!
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
base 1/100 strict=False loose=False fmt=False latency=5.5s
base 2/100 strict=False loose=False fmt=False latency=5.4s
base 3/100 strict=False loose=True fmt=False latency=2.6s
base 4/100 strict=False loose=True fmt=False latency=2.1s
base 5/100 strict=False loose=True fmt=False latency=5.2s
base 6/100 strict=False loose=True fmt=False latency=4.0s
base 7/100 strict=False loose=True fmt=False latency=4.5s
base 8/100 strict=False loose=True fmt=False latency=4.3s
base 9/100 strict=False loose=False fmt=False latency=3.2s
base 10/100 strict=False loose=False fmt=False latency=5.6s
base 11/100 strict=False loose=False fmt=False latency=3.6s
base 12/100 strict=False loose=True fmt=False latency=5.4s
base 13/100 strict=False loose=False fmt=False latency=4.0s
base 14/100 strict=False loose=True fmt=False latency=4.1s
base 15/100 strict=False loose=False fmt=False latency=3.1s
base 16/100 strict=False loose=True fmt=False latency=4.5s
base 17/100 strict=False loose=True fmt=False latency=3.1s
base 18/100 strict=False loose=False fmt=False latency=3.0s
base 19/100 strict=False loose=True fmt=False latency=4.3s
base 20/100 strict=False loose=True fmt=False latency=4.9s
base 21/100 strict=False loose=False fmt=False latency=5.2s
base 22/100 strict=False loose=False fmt=False latency=3.1s
base 23/100 strict=False loose=False fmt=False latency=4.3s
base 24/100 strict=False loose=False fmt=False latency=5.2s
base 25/100 strict=False loose=True fmt=False latency=4.4s
base 26/100 strict=False loose=True fmt=False latency=6.7s
base 27/100 strict=False loose=True fmt=False latency=3.3s
base 28/100 strict=False loose=False fmt=False latency=3.0s
base 29/100 strict=False loose=True fmt=False latency=4.6s
base 30/100 strict=False loose=False fmt=False latency=5.8s
base 31/100 strict=False loose=True fmt=False latency=2.6s
base 32/100 strict=False loose=True fmt=False latency=3.2s
base 33/100 strict=False loose=True fmt=False latency=2.6s
base 34/100 strict=False loose=True fmt=False latency=6.0s
base 35/100 strict=False loose=True fmt=False latency=3.7s
base 36/100 strict=False loose=True fmt=False latency=4.5s
base 37/100 strict=False loose=False fmt=False latency=3.5s
base 38/100 strict=False loose=True fmt=False latency=3.7s
base 39/100 strict=False loose=True fmt=False latency=5.6s
base 40/100 strict=False loose=True fmt=False latency=3.8s
base 41/100 strict=False loose=False fmt=False latency=2.3s
base 42/100 strict=False loose=True fmt=False latency=6.2s
base 43/100 strict=False loose=False fmt=False latency=4.9s
base 44/100 strict=False loose=False fmt=False latency=4.1s
base 45/100 strict=False loose=False fmt=False latency=2.9s
base 46/100 strict=False loose=True fmt=False latency=4.6s
base 47/100 strict=False loose=False fmt=False latency=3.1s
base 48/100 strict=False loose=False fmt=False latency=3.4s
base 49/100 strict=False loose=True fmt=False latency=2.7s
base 50/100 strict=False loose=True fmt=False latency=3.4s
base 51/100 strict=False loose=True fmt=False latency=2.8s
base 52/100 strict=False loose=True fmt=False latency=3.6s
base 53/100 strict=False loose=True fmt=False latency=3.0s
base 54/100 strict=False loose=True fmt=False latency=2.5s
base 55/100 strict=False loose=True fmt=False latency=4.3s
base 56/100 strict=False loose=False fmt=False latency=5.4s
